patent_number,country,title,assignee,grant_year,times_cited,status,url
8769558,US,How Devices Track Offline Ad Watching and Share Media Recommendations,Sony Computer Entertainment America LLC,2014,20,active,https://patentbrief.org/patent/us/8769558/netflix-adaptive-streaming
5973252,US,How Real-Time Pitch Correction and Auto-Tune Technology Works,Auburn Audio Technologies Inc,1999,39,public domain,https://patentbrief.org/patent/us/5973252/auto-tune-pitch-correction
7740842,US,How to Keep High-Concentration Antibody Medicines Stable in Liquid Form,Novartis AG,2010,17,public domain,https://patentbrief.org/patent/us/7740842/herceptin-adjuvant-therapy
3541541,US,How Douglas Engelbart Invented the Computer Mouse,Stanford Research Institute,1970,162,public domain,https://patentbrief.org/patent/us/3541541/computer-mouse-input-device
11853535,US,How Apple Devices Securely Display Digital Passes and Tickets,Apple Inc,2023,0,active,https://patentbrief.org/patent/us/11853535/vision-pro-hand-gesture-recognition
5595721,US,Using Radioactive Antibodies to Treat B-Cell Lymphoma,Coulter Pharmaceutical Inc,1997,232,public domain,https://patentbrief.org/patent/us/5595721/pcr-thermal-cycler
12354567,US,How Foldable Screens Use Electrochromic Layers to Improve Color and Contrast,HKC Co Ltd,2025,0,active,https://patentbrief.org/patent/us/12354567/sea-level-raptor
5559942,US,How Digital Sticky Notes Work Inside Computer Programs,Apple Computer Inc,1996,244,public domain,https://patentbrief.org/patent/us/5559942/mac-os-menu-bar
12321234,US,How to Save Memory Power by Grouping Error-Correction Data,Rambus Inc,2025,0,active,https://patentbrief.org/patent/us/12321234/raptor-2
2717437,US,How George de Mestral Invented Velcro,Velcro SA,1955,299,public domain,https://patentbrief.org/patent/us/2717437/velcro-hook-and-loop
12310123,US,How TSMC Makes Advanced Silicon-Based Light Sensors,Taiwan Semiconductor Manufacturing Co TSMC Ltd,2025,0,active,https://patentbrief.org/patent/us/12310123/raptor-1
RE48492,US,"How to Build Thin, Flat Light-Focusing Panels",S V V Tech Innovations Inc,2021,2,active,https://patentbrief.org/patent/us/RE48492/learning-thermostat
12299012,US,How to Map Physical Locations to Human-Friendly Web Addresses,Unl Network BV,2025,0,active,https://patentbrief.org/patent/us/12299012/superdraco-engines
3733309,US,How Plastic Soda Bottles Are Made Stronger Using Stretched Molecules,EI Du Pont de Nemours and Co,1973,170,public domain,https://patentbrief.org/patent/us/3733309/pet-plastic-bottle
12145678,US,How Bicycle Racks Keep Their Lights Visible While Moving,Kuat Innovations LLC,2024,1,active,https://patentbrief.org/patent/us/12145678/falcon-heavy
9154532,US,How Websites Get Paid for Referring Video Traffic,Zaron Remote LLC,2015,6,active,https://patentbrief.org/patent/us/9154532/netflix-original-content-recommendation
12244567,US,How to Monitor Secure Government Computer Networks Automatically,CDW LLC,2025,0,active,https://patentbrief.org/patent/us/12244567/spacex-philosophy
3322485,US,How Liquid Crystal Displays (LCDs) Were Invented,RCA Corp,1967,90,public domain,https://patentbrief.org/patent/us/3322485/lcd-liquid-crystal-display
12217035,US,How to Safely Shut Down Microservices Without Breaking Apps,Microsoft Technology Licensing LLC,2025,0,active,https://patentbrief.org/patent/us/12217035/vision-pro-spatial-photos-videos
12211234,US,How Computers Track the Position and Angle of Multiple Objects,Nippon Telegraph and Telephone Corp,2025,0,active,https://patentbrief.org/patent/us/12211234/rapid-iterative-development
5002952,US,How to Make Hard-to-Absorb Medicines Easier for the Body to Use,Green Cross Corp Japan,1991,16,public domain,https://patentbrief.org/patent/us/5002952/duragesic-fentanyl-patch
12453456,US,How Dishwasher Racks Use Articulating Skis to Glide Smoothly,Haier US Appliance Solutions Inc,2025,0,active,https://patentbrief.org/patent/us/12453456/raptor-evolution
3789409,US,How Passive Satellite Navigation Works Without Sending Signals,Individual,1974,31,public domain,https://patentbrief.org/patent/us/3789409/gps-satellite-navigation
RE49538,US,How Samsung Makes Better Transistor Gates Using Two-Layer Metal Stacks,Samsung Electronics Co Ltd,2023,0,active,https://patentbrief.org/patent/us/RE49538/instant-pot-multi-cooker
3585356,US,How the Modern Waterbed Works,Innerspace Environments Inc,1971,70,public domain,https://patentbrief.org/patent/us/3585356/waterbed-liquid-support
11878818,US,How Tiny Water-Powered Thrusters Steer Small Satellites,Purdue Research Foundation,2024,0,active,https://patentbrief.org/patent/us/11878818/starlink-maritime
RE49480,US,How Smart Light Networks Coordinate Without a Central Controller,Ideal Industries Lighting LLC,2023,0,active,https://patentbrief.org/patent/us/RE49480/google-assistant
5920316,US,How the Windows Taskbar Manages Open Programs,Microsoft Corp,1999,124,public domain,https://patentbrief.org/patent/us/5920316/windows-explorer-tree-view
12112345,US,How Software Automatically Filters Employee Survey Results Based on Management Roles,People Center Inc,2024,0,active,https://patentbrief.org/patent/us/12112345/starship-production-line
7596761,US,How Apple's Navigation Bar Manages App Screens,Apple Inc,2009,80,public domain,https://patentbrief.org/patent/us/7596761/os-x-dashboard-widgets
7296016,US,How Search Engines Personalize Results Based on Your Browsing History,Google LLC,2007,24,public domain,https://patentbrief.org/patent/us/7296016/bing-msn-search
12101428,US,How One Phone Can Remotely Control Another When Nearby,Individual,2024,0,active,https://patentbrief.org/patent/us/12101428/vision-pro-foveated-rendering
10157378,US,How Square Prepares Digital Tabs for Customers Before They Arrive,Square Inc,2018,3,active,https://patentbrief.org/patent/us/10157378/stripe-connect
8972477,US,How Servers Prepare Web Pages for You to Read Offline,Amazon Technologies Inc,2015,5,active,https://patentbrief.org/patent/us/8972477/amazon-aurora-database
2026082,US,How the Board Game Monopoly Works,Parker Brothers Inc,1935,177,public domain,https://patentbrief.org/patent/us/2026082/monopoly-board-game
5574018,US,Using Vitamin B12 to Help Proteins Survive the Human Digestive System,Amgen Inc,1996,46,public domain,https://patentbrief.org/patent/us/5574018/herceptin-trastuzumab
4147780,US,Chemical Compounds for Fighting Bacterial and Yeast Infections,Ciba Geigy Corp,1979,17,public domain,https://patentbrief.org/patent/us/4147780/timoptic-timolol
12277890,US,How to Fix Color Uniformity in Digital Screens Using Math,Kunshan Yunyinggu Electronic Technology Co Ltd,2025,0,active,https://patentbrief.org/patent/us/12277890/kestrel-engine
8060616,US,How Cloud Storage Providers Automatically Connect Files to Content Delivery Networks,Amazon Technologies Inc,2011,10,active,https://patentbrief.org/patent/us/8060616/amazon-s3-simple-storage-service
RE49280,US,A Custom-Built Protein to Block TGF-beta Signaling in Disease,University of Texas System,2022,0,active,https://patentbrief.org/patent/us/RE49280/smart-ring-health-tracker
12255678,US,How Wireless Radios Automatically Adjust to Avoid Signal Overload,Silicon Laboratories Inc,2025,0,active,https://patentbrief.org/patent/us/12255678/falcon-1
3057356,US,The First Implantable Cardiac Pacemaker,Wilson Greatbatch Technologies Inc,1962,127,public domain,https://patentbrief.org/patent/us/3057356/implantable-cardiac-pacemaker
3671542,US,How Stephanie Kwolek Invented the Liquid Crystal Solution for Kevlar,EI Du Pont de Nemours and Co,1972,132,public domain,https://patentbrief.org/patent/us/3671542/kevlar-aramid-fiber
9216996,US,Gilead's Chemical Compounds for Treating HIV Infections,Gilead Sciences Inc,2015,35,active,https://patentbrief.org/patent/us/9216996/genvoya-elvitegravir-cobicistat-taf-ftc
RE50690,US,How Recessed Wall Wash Lights Reduce Glare Using Angled Lenses,USAI LLC,2025,0,active,https://patentbrief.org/patent/us/RE50690/sonicare-toothbrush
11449194,US,How Smartphones Let You Rearrange and Organize Your Home Screen Icons,Apple Inc,2022,0,active,https://patentbrief.org/patent/us/11449194/spatial-audio-with-dynamic-head-tracking
2266401,US,How Pulse Code Modulation Digitizes Analog Signals,International Standard Electric Corp ,1941,181,public domain,https://patentbrief.org/patent/us/2266401/pcm-pulse-code-modulation-reeves
3927193,US,Using Radioactive Antibodies to Find Tumors Inside the Body,F Hoffmann La Roche AG,1975,66,public domain,https://patentbrief.org/patent/us/3927193/ivermectin
9075783,US,How Phones Use Your Voice History to Fix Your Typing,Apple Inc,2015,5,active,https://patentbrief.org/patent/us/9075783/alexa-voice-service
7343566,US,How Computers Automatically Manage Temporary Pop-up Windows,Apple Inc,2008,20,public domain,https://patentbrief.org/patent/us/7343566/os-x-dock
11521601,US,How AI Cleans Up Irrelevant Topics in Recorded Phone Calls,Invoca Inc,2022,1,active,https://patentbrief.org/patent/us/11521601/stylegan
6883201,US,How the iRobot Roomba Automatically Cleans Floors Without Falling Down Stairs,iRobot Corp,2005,215,public domain,https://patentbrief.org/patent/us/6883201/roomba-autonomous-vacuum
8957079,US,How Ibrutinib-like Molecules Block Cancer-Causing Proteins,Pharmacyclics LLC,2015,33,active,https://patentbrief.org/patent/us/8957079/pomalyst-pomalidomide
12100000,US,How Digital Wallets Pull Data From Multiple Sources for Payments,Paymentus Corp,2024,0,active,https://patentbrief.org/patent/us/12100000/starship-mars-edl
RE45559,US,How Phones Use Motion Sensors to Change Screen Orientation and Views,Apple Inc,2015,4,public domain,https://patentbrief.org/patent/us/RE45559/cover-flow
11429864,US,Making Neural Networks Faster by Skipping Unnecessary Calculations,Moffett International Co Ltd Hong Kong,2022,1,active,https://patentbrief.org/patent/us/11429864/dlss-deep-learning-super-sampling
11170293,US,How AI Systems Learn to Predict and Act Simultaneously,Microsoft Technology Licensing LLC,2021,4,active,https://patentbrief.org/patent/us/11170293/alphago-policy-and-value-networks
3711262,US,How Corning Invented Modern Fiber Optic Cables,Corning Glass Works,1973,86,public domain,https://patentbrief.org/patent/us/3711262/optical-fiber-waveguide
11794927,US,How Boeing 3D Prints Strong Lightweight Spacecraft Panels,Boeing Co,2023,0,active,https://patentbrief.org/patent/us/11794927/starship-life-support-system
RE48965,US,How to Stop Transistors from Wearing Out in Radio Frequency Chips,PSemi Corp,2022,0,active,https://patentbrief.org/patent/us/RE48965/google-play-store
4136359,US,How Wozniak Made the Apple II Display Color Graphics,Apple Computer Inc,1979,29,public domain,https://patentbrief.org/patent/us/4136359/apple-ii-personal-computer
7801772,US,How Online Stores Automatically Block Illegal Alcohol and Tobacco Deliveries,IpVenture Inc,2010,11,public domain,https://patentbrief.org/patent/us/7801772/amazon-recommendations
7877330,US,How to Buy Digital Media Once and Get Multiple Formats,Amazon Technologies Inc,2011,12,active,https://patentbrief.org/patent/us/7877330/kindle-e-reader
11124318,US,How a Host Spacecraft Refuels Another Satellite Without Using Its Fuel Tank,Northrop Grumman Systems Corp,2021,1,active,https://patentbrief.org/patent/us/11124318/starship-belly-flop-maneuver
10108619,US,How Streaming Services Automatically Build Custom Radio Stations,Gracenote Inc,2018,3,active,https://patentbrief.org/patent/us/10108619/microsoft-edge-browser
RE48925,US,How Printers Manage Power States and Sleep Timers,Canon Inc,2022,0,active,https://patentbrief.org/patent/us/RE48925/wrist-worn-activity-tracker
9934408,US,How a Local Server Decides to Save or Degrade Digital Content,Wistaria Trading Ltd,2018,5,active,https://patentbrief.org/patent/us/9934408/windows-information-protection
11501192,US,How to Automatically Tune Machine Learning Settings Using Smart Math,University of Toronto,2022,0,active,https://patentbrief.org/patent/us/11501192/alphafold-protein-structure-prediction
4756529,US,How the Koosh Ball's Design Makes It Easy to Catch,OddzOn Products Inc,1988,62,public domain,https://patentbrief.org/patent/us/4756529/koosh-ball-stillinger
9154561,US,How Apps Automatically Connect Friends Based on Their Current Location,AOL Inc,2015,10,active,https://patentbrief.org/patent/us/9154561/facebook-pages
9276922,US,How to Securely Pass Data Packets Within a Trusted Network,Palo Alto Research Center Inc,2016,3,active,https://patentbrief.org/patent/us/9276922/facebook-safety-check
8069204,US,How Apps Fetch Data in the Background While You Are Offline,Twintech EU LLC,2011,8,public domain,https://patentbrief.org/patent/us/8069204/azure-cloud-platform
6302230,US,How Self-Balancing Vehicles Warn Users Before They Tip Over,Deka Products LP,2001,172,public domain,https://patentbrief.org/patent/us/6302230/segway-personal-transporter
5754176,US,How Interactive Pop-up Help Windows Work in Computer Interfaces,AST Research Inc,1998,119,public domain,https://patentbrief.org/patent/us/5754176/windows-taskbar
11645473,US,How AI Predicts Who Will Speak Next in a Conversation,International Business Machines Corp,2023,0,active,https://patentbrief.org/patent/us/11645473/palm-pathways-language-model
9699159,US,How Wearable Devices Act as Secure Bridges for Transactions,OLogN Technologies AG,2017,2,active,https://patentbrief.org/patent/us/9699159/microsoft-teams
11059609,US,How Rocket Lab Secures Satellites Inside Their Launch Dispensers,Rocket Lab USA Inc,2021,2,active,https://patentbrief.org/patent/us/11059609/starlink-inter-satellite-laser-links
4357215,US,How Lithium-Ion Battery Cathodes Are Made,Individual,1982,41,public domain,https://patentbrief.org/patent/us/4357215/lithium-ion-cathode-goodenough
RE47420,US,How Chips Save Power by Managing Individual Parts Separately,Advanced Micro Devices Inc,2019,1,active,https://patentbrief.org/patent/us/RE47420/google-translate
RE49412,US,How a Pitcher Uses Removable Rulers to Measure Beverage Ingredients,Individual,2023,0,active,https://patentbrief.org/patent/us/RE49412/strain-and-recovery-tracking
3489148,US,How Disposable Diapers Keep Skin Dry Using Porous Plastic Sheets,Procter and Gamble Co,1970,133,public domain,https://patentbrief.org/patent/us/3489148/disposable-diaper-topsheet
11814186,US,How Jet Engines Use Heat to Automatically Adjust Airflow,General Electric Co,2023,0,active,https://patentbrief.org/patent/us/11814186/starship-lunar-lander-hls
9830146,US,How Software Developers Keep Track of API Versions Automatically,Microsoft Technology Licensing LLC,2017,8,active,https://patentbrief.org/patent/us/9830146/visual-studio-code
RE48596,US,How Web Browsers Create Fluid Animations Without Reloading Pages,Intel Corp,2021,0,active,https://patentbrief.org/patent/us/RE48596/nest-protect-smoke-co-detector
12060178,US,How to Make Carbonated Shampoo Using Chemical Reactions,Individual,2024,0,active,https://patentbrief.org/patent/us/12060178/starship-crew-configuration
2780765,US,How the First Practical Silicon Solar Cell Works,Bell Telephone Laboratories Inc,1957,59,public domain,https://patentbrief.org/patent/us/2780765/solar-cell-photovoltaic
11753188,US,How Satellites Use Split Thrusters to Reach Orbit Faster,Boeing Co,2023,0,active,https://patentbrief.org/patent/us/11753188/direct-to-cell-starlink
4549302,US,How Modems Use Guard Time to Switch Between Data and Commands,Hayes Microcomputer Products Inc,1985,42,public domain,https://patentbrief.org/patent/us/4549302/hayes-modem-escape-sequence
12266789,US,How to Make Lithium-Sulfur Batteries Last Longer Using Polymer Coatings,Seoul National University R&DB Foundation,2025,0,active,https://patentbrief.org/patent/us/12266789/merlin-engine
10212148,US,How Online Systems Verify Your Identity Using External Data,Mbr Innovations LLC,2019,1,active,https://patentbrief.org/patent/us/10212148/touch-id
11488063,US,How AI Helps Pilots Talk to Flight Management Systems,Honeywell International Inc,2022,0,active,https://patentbrief.org/patent/us/11488063/chinchilla-scaling-laws
RE38800,US,How to Take 3D Pictures Inside Human Tissue Using Near-Infrared Light,Research Foundation of the State University of New York,2005,25,public domain,https://patentbrief.org/patent/us/RE38800/digital-video-recorder-dvr
12233456,US,How to Improve 3D Printing Using Cold Spray Metal Deposition,Individual,2025,0,active,https://patentbrief.org/patent/us/12233456/mars-colonial-transporter-architecture
10928980,US,How Apple's Interface Switches Between Music Playlists and Menus,Apple Inc,2021,0,active,https://patentbrief.org/patent/us/10928980/ios-widgets-on-home-screen
11975868,US,How Aircraft Systems Detect Mechanical Wear by Comparing Real-Time Performance,Textron Innovations Inc,2024,0,active,https://patentbrief.org/patent/us/11975868/starship-point-to-point-earth-transport
10525078,US,How to Make Stable Solid Dialysis Powder with Less Odor,Tomita Pharmaceutical Co Ltd,2020,0,active,https://patentbrief.org/patent/us/10525078/trikafta-elexacaftor-tezacaftor-ivacaftor
RE48406,US,How Vehicles Send Data Without Revealing Who Is Driving,Mitsubishi Heavy Industries Machinery Systems Co Ltd,2021,0,active,https://patentbrief.org/patent/us/RE48406/cftr-corrector-compounds
12464567,US,How Satellites Sync Timing for Faster 5G Internet Connections,Lockheed Martin Corp,2025,0,active,https://patentbrief.org/patent/us/12464567/raptor-future
9021535,US,How Cable Networks Manage Virtual Ownership of Digital Movies,Time Warner Cable Enterprises LLC,2015,3,active,https://patentbrief.org/patent/us/9021535/netflix-user-profiles
5110802,US,Using Synthetic DNA Fragments to Block HIV Replication,City of Hope,1992,26,public domain,https://patentbrief.org/patent/us/5110802/crixivan-indinavir
10543427,US,How Game Controllers Change Button Functions Using Plug-in Accessories,Microsoft Technology Licensing LLC,2020,2,active,https://patentbrief.org/patent/us/10543427/joy-con-motion-controls
8843528,US,How Social Networks Automatically Create Groups Based on Time and Place,Google LLC,2014,6,active,https://patentbrief.org/patent/us/8843528/facebook-groups
10204358,US,How Referral-Based Text Message Marketing Systems Work,Zeta Global Corp,2019,3,active,https://patentbrief.org/patent/us/10204358/shopify-payments
6901559,US,How Handheld Devices Organize Recently Used Files and Contacts,Microsoft Corp,2005,73,public domain,https://patentbrief.org/patent/us/6901559/microsoft-office-ribbon-ui
RE48232,US,Using Cordless Phones to Send Voice Commands to Smart Home Devices,Panasonic Intellectual Property Corp of America,2020,0,active,https://patentbrief.org/patent/us/RE48232/video-doorbell
1948384,US,How Ernest Lawrence Invented the Cyclotron Particle Accelerator,Research Corp,1934,114,public domain,https://patentbrief.org/patent/us/1948384/cyclotron-lawrence
10732795,US,How Messaging Apps Quickly Share Photos and Camera Previews,Apple Inc,2020,0,active,https://patentbrief.org/patent/us/10732795/ios-dark-mode
2292387,US,Hedy Lamarr and George Antheil's Frequency Hopping Secret Communication System,Individual,1942,82,public domain,https://patentbrief.org/patent/us/2292387/hedy-lamarr-frequency-hopping
3293513,US,How the First Infrared LED Was Invented,Texas Instruments Inc,1966,54,public domain,https://patentbrief.org/patent/us/3293513/infrared-led-biard-pittman
RE47935,US,How Digital Audio Compression Saves Space by Copying Frequencies,Dolby International AB,2020,0,active,https://patentbrief.org/patent/us/RE47935/google-chrome-browser
8710041,US,Using Purified Fish Oil Derivatives to Lower Triglycerides Alongside Statins,Amarin Pharmaceuticals Ireland Ltd,2014,13,active,https://patentbrief.org/patent/us/8710041/imbruvica-ibrutinib-formulation
10579225,US,How Devices Pair Automatically by Scanning Patterns with a Camera,Apple Inc,2020,0,active,https://patentbrief.org/patent/us/10579225/apple-fitness
9098533,US,How Voice Commands Help Computers Find Objects in Pictures and Videos,Microsoft Technology Licensing LLC,2015,4,active,https://patentbrief.org/patent/us/9098533/amazon-kinesis
11609640,US,How Apple's Emoji Search Interface Automatically Adjusts and Filters Results,Apple Inc,2023,0,active,https://patentbrief.org/patent/us/11609640/stage-manager
223898,US,How Thomas Edison Invented the Practical Incandescent Light Bulb,Individual,1880,28,public domain,https://patentbrief.org/patent/us/223898/edison-incandescent-lamp
9398340,US,How Cable Systems Automatically Filter Ads for On-Demand Content,Canoe Ventures LLC,2016,2,active,https://patentbrief.org/patent/us/9398340/netflix-skip-intro
2230654,US,The Discovery of Teflon,KINETIC CHEMICALS Inc,1941,74,public domain,https://patentbrief.org/patent/us/2230654/teflon-ptfe-polymer
2682235,US,Buckminster Fuller's Geodesic Dome Building Design,Individual,1954,120,public domain,https://patentbrief.org/patent/us/2682235/geodesic-dome-fuller
8356005,US,How Devices Automatically Tag and Monetize Real-World Events,Individual,2013,4,active,https://patentbrief.org/patent/us/8356005/facebook-photo-tagging
4492385,US,How Modern Rollerblades Became Adjustable and Interchangeable,Individual,1985,46,public domain,https://patentbrief.org/patent/us/4492385/inline-skates-rollerblade-olson
3997676,US,How Cup Noodles Are Designed to Cook Perfectly,Nissin Shokuhin KK,1976,22,public domain,https://patentbrief.org/patent/us/3997676/cup-noodles-instant-ramen-ando
3614954,US,How the First Automatic Implantable Defibrillator Works,Medtronic Inc,1971,71,public domain,https://patentbrief.org/patent/us/3614954/implantable-defibrillator-mirowski
12031028,US,How LG Chem Makes Plastic Films That Block UV Light,LG Chem Ltd,2024,0,active,https://patentbrief.org/patent/us/12031028/starship-eclss
9723108,US,How Software Packages Create Independent Windows for Web Content,Individual,2017,1,active,https://patentbrief.org/patent/us/9723108/facebook-portal-smart-display
10210146,US,How Microsoft Word Suggests Research Content While You Write,Microsoft Technology Licensing LLC,2019,1,active,https://patentbrief.org/patent/us/10210146/fluent-design-system
9075661,US,How Cloud Systems Automatically Assign Virtual Machines to Servers,Microsoft Technology Licensing LLC,2015,3,active,https://patentbrief.org/patent/us/9075661/hyper-v-virtualization
9037656,US,How a Server Aggregates Comments from Different Websites About One File,Google Technology Holdings LLC,2015,2,active,https://patentbrief.org/patent/us/9037656/facebook-live-video
2742437,US,How Eugene Houdry Invented the Modern Catalytic Converter,Oxy Catalyst Inc,1956,55,public domain,https://patentbrief.org/patent/us/2742437/catalytic-converter-houdry
3102230,US,The Invention of the Modern Field-Effect Transistor,Bell Telephone Laboratories Inc,1963,37,public domain,https://patentbrief.org/patent/us/3102230/mosfet-field-effect-transistor
RE48399,US,How to Make Electric Motors Run Smoother and Last Longer,Black and Decker Inc,2021,0,active,https://patentbrief.org/patent/us/RE48399/action-camera-waterproof-housing
10140638,US,How Cloud Services Automatically Switch Providers When One Fails,International Business Machines Corp,2018,1,active,https://patentbrief.org/patent/us/10140638/airbnb-review-system
12189012,US,Removing Radio Interference from Portable MRI Scans,General Hospital Corp,2025,0,active,https://patentbrief.org/patent/us/12189012/eva-suit
8204793,US,How Phones Use Photos to Buy or Research Products,Wounder GmbH LLC,2012,4,active,https://patentbrief.org/patent/us/8204793/fulfillment-by-amazon-fba
10108910,US,How Mobile Apps Connect Drivers to Real-Time Parking Spots,Verizon Patent and Licensing Inc,2018,1,active,https://patentbrief.org/patent/us/10108910/airbnb-booking-platform
2487400,US,How Earl Tupper Invented the Airtight Plastic Food Container,Individual,1949,116,public domain,https://patentbrief.org/patent/us/2487400/tupperware-airtight-seal
3388314,US,Gordon Gould's Early Concepts for High-Frequency Radiation Devices,Control Data Corp,1968,53,public domain,https://patentbrief.org/patent/us/3388314/laser-gordon-gould
3723796,US,How a Single Coil Powers Multiple Motor Armatures Simultaneously,Individual,1973,22,public domain,https://patentbrief.org/patent/us/3723796/mri-cancer-tissue-detection
10427804,US,How to Launch Spacecraft Using Giant Cannons Instead of Rockets,Quicklaunch Inc,2019,2,active,https://patentbrief.org/patent/us/10427804/starship-stainless-steel-construction
2988237,US,How George Devol Invented the First Industrial Robot Arm,Individual,1961,93,public domain,https://patentbrief.org/patent/us/2988237/unimate-industrial-robot-devol
10311112,US,How to Search Through Long Videos Using a Compressed Visual Timeline,Zorroa Corp,2019,1,active,https://patentbrief.org/patent/us/10311112/github-acquisition-integration
9888087,US,How Uber Updates App Features for Specific Groups of Users,Uber Technologies Inc,2018,2,active,https://patentbrief.org/patent/us/9888087/uber-pool
3678182,US,How Early Television Systems Isolated Specific Colors for Special Effects,Philips Broadcast Equipment Corp,1972,17,public domain,https://patentbrief.org/patent/us/3678182/chroma-key-green-screen
12332345,US,How Vehicle Radar Systems Correct Phase Errors for Better Object Detection,HL Klemove Corp,2025,0,active,https://patentbrief.org/patent/us/12332345/raptor-3
3498798,US,How Pringles Potato Chips Are Stacked and Packaged,Procter and Gamble Co,1970,83,public domain,https://patentbrief.org/patent/us/3498798/pringles-stackable-chips
2168726,US,Frank Whittle's Early Jet Engine Design,Individual,1939,50,public domain,https://patentbrief.org/patent/us/2168726/jet-engine-whittle
3138743,US,How Jack Kilby Invented the First Integrated Circuit,Texas Instruments Inc,1964,27,public domain,https://patentbrief.org/patent/us/3138743/kilby-monolithic-integrated-circuit
4531203,US,How Flash Memory Cells Use an Erase Gate to Clear Data,Tokyo Shibaura Electric Co Ltd,1985,27,public domain,https://patentbrief.org/patent/us/4531203/nand-flash-memory
9949013,US,How Wireless Earbuds Detect Hand Gestures Using Invisible Light or Sound,Bragi GmbH,2018,1,active,https://patentbrief.org/patent/us/9949013/airpods-charging-case
8702514,US,How Nintendo's Wii U GamePad Controller Attachment Works,Nintendo Co Ltd,2014,11,active,https://patentbrief.org/patent/us/8702514/wii-balance-board
10853731,US,How Software Automatically Checks for Configuration Errors in Complex Systems,Oracle International Corp,2020,0,active,https://patentbrief.org/patent/us/10853731/core-ml-on-device-machine-learning
10521248,US,How to Interact with Background Apps While Using Another App,Samsung Electronics Co Ltd,2019,0,active,https://patentbrief.org/patent/us/10521248/swiftui
D618677,US,The Design of the Original iPhone 3G,Apple Inc,2010,57,active,https://patentbrief.org/patent/us/D618677/original-iphone-design
12398901,US,How Air Conditioners Use Radio Signals to Locate Your Remote Control,Mitsubishi Electric Corp,2025,0,active,https://patentbrief.org/patent/us/12398901/raptor-thrust-to-weight
12387890,US,How Medium Voltage Power Switches Safely Direct Electricity,ABB Schweiz AG,2025,0,active,https://patentbrief.org/patent/us/12387890/raptor-reliability
7530029,US,How Software Interfaces Shrink to Save Screen Space,Microsoft Corp,2009,34,public domain,https://patentbrief.org/patent/us/7530029/xbox-360-achievements-system
8249948,US,How Amazon Created a Marketplace for Recommendation Algorithms,Amazon Technologies Inc,2012,3,active,https://patentbrief.org/patent/us/8249948/facebook-like-button
10357559,US,How to Make Anthrax Vaccines That Survive Freezing,Emergent Product Development Gaithersburg Inc,2019,0,active,https://patentbrief.org/patent/us/10357559/luxturna-voretigene-neparvovec
3191596,US,How Dr. Forrest Bird's Mechanical Respirator Controls Patient Breathing,Individual,1965,78,public domain,https://patentbrief.org/patent/us/3191596/bird-respirator-ventilator
11827373,US,How Boeing Shortens Engine Exhaust Fairings to Save Weight,Boeing Co,2023,0,active,https://patentbrief.org/patent/us/11827373/starship-tanker-variant
1102653,US,Robert Goddard's Early Design for Liquid-Fueled Rocket Engines,Individual,1914,59,public domain,https://patentbrief.org/patent/us/1102653/liquid-fuel-rocket-goddard
2911759,US,How the Float Glass Process Makes Perfectly Flat Window Panes,Pilkington Brothers Ltd,1959,53,public domain,https://patentbrief.org/patent/us/2911759/float-glass-pilkington
9741006,US,Managing Who Can Do What in Complex Business Workflows,Oracle International Corp,2017,1,active,https://patentbrief.org/patent/us/9741006/amazon-go-just-walk-out
12288901,US,How a Battery Automatically Disconnects Itself During Overheating,SAFT Societe des Accumulateurs Fixes et de Traction SA,2025,0,active,https://patentbrief.org/patent/us/12288901/draco-thrusters
821393,US,How the Wright Brothers Invented Modern Airplane Control,Individual,1906,19,public domain,https://patentbrief.org/patent/us/821393/wright-brothers-flying-machine
2708722,US,How Wang An Invented the Magnetic Pulse Memory Core,Individual,1955,74,public domain,https://patentbrief.org/patent/us/2708722/magnetic-core-memory-wang
2541851,US,How to Make Silly Putty Using Silicone and Zinc,General Electric Co,1951,80,public domain,https://patentbrief.org/patent/us/2541851/silly-putty-bouncing-silicone
10138293,US,How Roche Engineers Antibodies to Target Two Different Diseases Simultaneously,Hoffmann La Roche Inc,2018,6,active,https://patentbrief.org/patent/us/10138293/opdivo-nivolumab
RE45786,US,How Nielsen Tracks What You Listen to in Your Car,Nielsen Co US LLC,2015,1,active,https://patentbrief.org/patent/us/RE45786/gmail
12486789,US,How Rondo Energy Stores Electricity as High-Temperature Industrial Heat,Rondo Energy Inc,2025,0,active,https://patentbrief.org/patent/us/12486789/spacex-structures-philosophy
11188196,US,Using a Phone Display as a Visual Beacon Based on Activity,Apple Inc,2021,0,active,https://patentbrief.org/patent/us/11188196/app-library
10626109,US,New Chemical Compounds for Protecting Crops from Fungal Diseases,Bayer CropScience AG,2020,0,active,https://patentbrief.org/patent/us/10626109/symdeko-tezacaftor-ivacaftor
9661085,US,Managing External Network Hardware as if It Were Inside the Switch,Brocade Communications Systems LLC,2017,1,active,https://patentbrief.org/patent/us/9661085/facebook-audience-network
6824780,US,How Genentech Created Antibodies to Target Prostate Cancer Cells,Genentech Inc,2004,136,public domain,https://patentbrief.org/patent/us/6824780/avastin-dosing
2929804,US,How Spandex Elastic Fibers Are Chemically Engineered,EI Du Pont de Nemours and Co,1960,71,public domain,https://patentbrief.org/patent/us/2929804/spandex-lycra-elastic-fiber
8496208,US,How Spacecraft Use Layered Nets to Stop Orbital Debris,Alliant Techsystems Inc,2013,3,active,https://patentbrief.org/patent/us/8496208/grid-fins-for-rocket-control
